sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,22,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,16,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,52,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,18,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,13,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
1,0,9,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Currys.html
